state,year,total_employed_rn,employed_standard_error_percent,hourly_wage_avg,hourly_wage_median,annual_salary_avg,annual_salary_median,wage_salary_standard_error_percent,hourly_10th_percentile,hourly_25th_percentile,hourly_75th_percentile,hourly_90th_percentile,annual_10th_percentile,annual_25th_percentile,annual_75th_percentile,annual_90th_percentile,location_quotient,total_employed_national_aggregate,total_employed_healthcare_national_aggregate,total_employed_healthcare_state_aggregate,yearly_total_employed_state_aggregate
North Carolina,2001,65910,2.7,21.68,21.08,45090,43850,0.6,15.97,18.35,24.66,27.56,33230,38170,51290,57330,NA,129059020,6160210,174930,3725250
California,2006,234260,1.9,36.12,35.23,75130,73280,0.7,25.45,30.22,42.29,49.48,52940,62850,87960,102920,NA,133735620,6760700,615630,15065750
New York,2006,164970,1.8,31.92,30.8,66390,64070,1.9,20.52,24.87,37.84,45.06,42670,51720,78720,93730,NA,133735620,6760700,444180,8387750
North Carolina,2006,74400,0.9,25.85,24.93,53770,51860,0.6,18.96,21.35,28.74,33.92,39430,44410,59770,70550,NA,133735620,6760700,198840,3892670
California,2003,206280,2.1,29.94,29.47,62270,61300,0.9,21.67,24.89,34.32,40.76,45080,51760,71380,84790,NA,128623200,6215910,573150,14512680
New York,2003,166290,2.2,27.84,26.99,57900,56130,1.2,17.54,21.7,33.77,41.01,36480,45140,70240,85290,NA,128623200,6215910,428050,8259900
North Carolina,2003,67640,4,23.06,22.46,47970,46710,0.6,17.29,19.32,26.03,29.5,35960,40170,54140,61360,NA,128623200,6215910,182800,3706260
California,2005,226350,2.1,33.86,33.15,70430,68950,0.8,24.06,28.63,39.48,45.31,50050,59550,82120,94240,NA,131432960,6595170,594290,14723900
New York,2005,164370,1.9,30.29,29.54,63010,61450,1,19.75,23.96,36.15,43.02,41080,49830,75200,89470,NA,131432960,6595170,435660,8333460
North Carolina,2005,72130,3.5,24.99,24.14,51970,50200,0.7,18.4,20.63,27.62,32.81,38270,42920,57440,68250,NA,131432960,6595170,191430,3809690
California,2004,223170,2.5,32.17,31.61,66920,65750,0.8,22.9,26.75,37.04,43.83,47640,55630,77050,91160,NA,129199200,6405560,583240,14534620
New York,2004,165800,2.2,29.17,28.45,60680,59170,1.1,18.72,22.93,34.99,42.15,38940,47690,72780,87670,NA,129199200,6405560,437020,8248470
North Carolina,2004,70630,3.7,23.83,23.21,49580,48270,0.6,17.89,19.9,26.72,31.02,37210,41400,55580,64520,NA,129199200,6405560,187750,3722700
California,2016,274650,1.9,48.92,48.3,101750,100460,1,30.51,37.89,59.91,71.85,63450,78810,124620,149440,0.85,141382280,8372570,799030,15966580
New York,2016,180730,2.2,38.86,38.65,80830,80380,1,25.51,30.8,46.71,54.55,53060,64060,97150,113450,0.98,141382280,8372570,528800,9097650
North Carolina,2016,99050,0.7,29.49,28.65,61330,59590,0.6,21.11,24.52,34.25,39.02,43910,50990,71240,81170,1.15,141382280,8372570,265870,4231020
California,2017,282290,1.7,49.37,48.43,102700,100730,0.8,30.98,38.56,60.3,72.7,64430,80210,125430,151210,0.83,143524090,8562280,827030,16695010
New York,2017,180170,2,40.12,40.23,83450,83680,0.7,25.98,31.64,47.91,56.48,54050,65810,99660,117470,0.96,143524090,8562280,535900,9207870
North Carolina,2017,99210,0.8,30.08,29.27,62560,60880,0.7,21.39,25.06,35,39.49,44500,52130,72790,82140,1.13,143524090,8562280,264860,4298390
California,2011,250230,1.9,43.68,42.51,90860,88430,0.9,30.21,34.95,52.14,61.66,62840,72710,108440,128250,0.84,129312400,7562850,703190,14038950
New York,2011,176180,2.4,36.23,35.38,75370,73580,0.8,23.99,29.22,43.07,51.14,49900,60790,89590,106380,0.98,129312400,7562850,489900,8427560
North Carolina,2011,91300,1.3,29.31,27.99,60960,58220,0.6,20.41,23.6,33.51,38.45,42450,49080,69700,79980,1.13,129312400,7562850,232330,3814860
California,2014,253310,1.7,47.31,46.38,98400,96470,1,30.6,36.84,57.76,68.79,63640,76630,120140,143070,0.84,136129200,7907200,737820,15119730
New York,2014,169560,1.6,37.07,36.5,77110,75910,0.7,24.73,29.72,44.43,52.21,51450,61820,92420,108590,0.97,136129200,7907200,504800,8810950
North Carolina,2014,89070,0.7,28.86,28.33,60030,58930,0.6,20.61,24,33.7,37.68,42870,49910,70090,78380,1.11,136129200,7907200,249760,4030880
California,2000,203390,3,26.99,26.5,56140,55120,0.9,19.37,22.89,31.33,35.14,40290,47610,65170,73090,NA,130849730,6082230,594420,14643700
New York,2000,159670,2.7,24.36,24.01,50660,49930,1.2,15.56,19.29,28.44,34.41,32370,40130,59160,71570,NA,130849730,6082230,422640,8553910
North Carolina,2000,60940,2.9,20.79,20.22,43250,42050,0.8,15.2,17.6,23.64,26.68,31610,36610,49170,55500,NA,130849730,6082230,169780,3838560
California,1999,224190,4.4,26,25.12,54070,52240,0.5,18.2,21.56,32.4,39.73,37850,44830,67400,82630,NA,128234630,6039520,621900,14204190
New York,1999,160460,3.8,24.27,23.33,50470,48520,1.1,15.03,18.4,30.56,39.4,31260,38280,63570,81960,NA,128234630,6039520,429740,8371350
North Carolina,1999,56740,3.8,19.57,18.92,40700,39360,0.6,14.55,16.44,22,25.25,30260,34190,45750,52530,NA,128234630,6039520,165780,3801670
California,1998,172210,2.9,24.91,23.95,51810,49820,0.6,17.4,20.5,32.66,39.92,36200,42640,67930,83030,NA,124143490,5854360,539850,539850
New York,1998,150760,2.6,23.88,22.67,49660,47160,1,14.51,17.89,32.23,40.48,30170,37210,67030,84200,NA,124143490,5854360,418040,418040
North Carolina,1998,59900,2.9,20.02,18.53,41650,38530,1.5,14.24,16.07,21.97,26.74,29620,33420,45690,55620,NA,124143490,5854360,167160,167160
